Ball,Score,Bowler,Bowler ID,Batsman,Batsman ID,Dismissal_type
18.1,6,Mrittunjoy Chowdhury,11644,Faheem Ashraf,6498,
17.6,0,Taskin Ahmed,2960,Mahmudullah,2973,
17.5,4,Taskin Ahmed,2960,Mahmudullah,2973,
17.4,1,Taskin Ahmed,2960,Faheem Ashraf,6498,
17.3,2,Taskin Ahmed,2960,Faheem Ashraf,6498,
17.2,1,Taskin Ahmed,2960,Mahmudullah,2973,
17.1,2,Taskin Ahmed,2960,Mahmudullah,2973,
16.6,6,Lahiru Samarakoon,2839,Faheem Ashraf,6498,
16.5,2,Lahiru Samarakoon,2839,Faheem Ashraf,6498,
16.4,6,Lahiru Samarakoon,2839,Faheem Ashraf,6498,
16.3,4,Lahiru Samarakoon,2839,Faheem Ashraf,6498,
16.2,6,Lahiru Samarakoon,2839,Faheem Ashraf,6498,
16.1,1,Lahiru Samarakoon,2839,Mahmudullah,2973,
15.6,1,Mrittunjoy Chowdhury,11644,Mahmudullah,2973,
15.5,6,Mrittunjoy Chowdhury,11644,Mahmudullah,2973,
15.4,1,Mrittunjoy Chowdhury,11644,Faheem Ashraf,6498,
15.3,1,Mrittunjoy Chowdhury,11644,Mahmudullah,2973,
15.2,4,Mrittunjoy Chowdhury,11644,Mahmudullah,2973,
15.1,4,Mrittunjoy Chowdhury,11644,Mahmudullah,2973,
15.1,1wd,Mrittunjoy Chowdhury,11644,Mahmudullah,2973,
15.1,1wd,Mrittunjoy Chowdhury,11644,Mahmudullah,2973,
14.6,6,Hasan Murad,11697,Faheem Ashraf,6498,
14.5,6,Hasan Murad,11697,Faheem Ashraf,6498,
14.4,6,Hasan Murad,11697,Faheem Ashraf,6498,
14.3,1,Hasan Murad,11697,Mahmudullah,2973,
14.2,0,Hasan Murad,11697,Mahmudullah,2973,
14.1,1,Hasan Murad,11697,Faheem Ashraf,6498,
13.6,6,Ryan Burl,8212,Mahmudullah,2973,
13.5,1lb,Ryan Burl,8212,Faheem Ashraf,6498,
13.4,0,Ryan Burl,8212,Faheem Ashraf,6498,
13.3,0,Ryan Burl,8212,Faheem Ashraf,6498,
13.2,0,Ryan Burl,8212,Faheem Ashraf,6498,
13.1,0,Ryan Burl,8212,Faheem Ashraf,6498,
12.6,0,Taskin Ahmed,2960,Mahmudullah,2973,
12.5,1,Taskin Ahmed,2960,Faheem Ashraf,6498,
12.4,0,Taskin Ahmed,2960,Faheem Ashraf,6498,
12.3,0,Taskin Ahmed,2960,Faheem Ashraf,6498,
12.2,W,Taskin Ahmed,2960,Shaheen Afridi,6496,Caught out
12.1,6,Taskin Ahmed,2960,Shaheen Afridi,6496,
11.6,1,Lahiru Samarakoon,2839,Shaheen Afridi,6496,
11.5,0,Lahiru Samarakoon,2839,Shaheen Afridi,6496,
11.4,6,Lahiru Samarakoon,2839,Shaheen Afridi,6496,
11.3,1,Lahiru Samarakoon,2839,Mahmudullah,2973,
11.2,4,Lahiru Samarakoon,2839,Mahmudullah,2973,
11.1,1,Lahiru Samarakoon,2839,Shaheen Afridi,6496,
11.1,1wd,Lahiru Samarakoon,2839,Shaheen Afridi,6496,
10.6,1,Ryan Burl,8212,Shaheen Afridi,6496,
10.5,0,Ryan Burl,8212,Shaheen Afridi,6496,
10.4,0,Ryan Burl,8212,Shaheen Afridi,6496,
10.3,0,Ryan Burl,8212,Shaheen Afridi,6496,
10.2,0,Ryan Burl,8212,Shaheen Afridi,6496,
10.1,6,Ryan Burl,8212,Shaheen Afridi,6496,
9.6,4,Lahiru Samarakoon,2839,Mahmudullah,2973,
9.5,6,Lahiru Samarakoon,2839,Mahmudullah,2973,
9.4,6,Lahiru Samarakoon,2839,Mahmudullah,2973,
9.3,0,Lahiru Samarakoon,2839,Mahmudullah,2973,
9.2,1,Lahiru Samarakoon,2839,Shaheen Afridi,6496,
9.1,1,Lahiru Samarakoon,2839,Mahmudullah,2973,
8.6,0,Hasan Murad,11697,Shaheen Afridi,6496,
8.5,1,Hasan Murad,11697,Mahmudullah,2973,
8.4,1,Hasan Murad,11697,Shaheen Afridi,6496,
8.3,4,Hasan Murad,11697,Shaheen Afridi,6496,
8.2,0,Hasan Murad,11697,Shaheen Afridi,6496,
8.1,W,Hasan Murad,11697,Towhid Hridoy,2967,Caught out
7.6,0,Lahiru Samarakoon,2839,Mahmudullah,2973,
7.5,1,Lahiru Samarakoon,2839,Towhid Hridoy,2967,
7.4,0,Lahiru Samarakoon,2839,Towhid Hridoy,2967,
7.3,4,Lahiru Samarakoon,2839,Towhid Hridoy,2967,
7.2,1,Lahiru Samarakoon,2839,Mahmudullah,2973,
7.1,1,Lahiru Samarakoon,2839,Towhid Hridoy,2967,
6.6,1,Hasan Murad,11697,Towhid Hridoy,2967,
6.5,1,Hasan Murad,11697,Mahmudullah,2973,
6.5,1wd,Hasan Murad,11697,Mahmudullah,2973,
6.4,0,Hasan Murad,11697,Mahmudullah,2973,
6.3,W,Hasan Murad,11697,Mushfiqur Rahim,2924,Caught out
6.2,1,Hasan Murad,11697,Towhid Hridoy,2967,
6.1,1,Hasan Murad,11697,Mushfiqur Rahim,2924,
5.6,1,Mrittunjoy Chowdhury,11644,Mushfiqur Rahim,2924,
5.5,1,Mrittunjoy Chowdhury,11644,Towhid Hridoy,2967,
5.4,1,Mrittunjoy Chowdhury,11644,Mushfiqur Rahim,2924,
5.3,1,Mrittunjoy Chowdhury,11644,Towhid Hridoy,2967,
5.2,0,Mrittunjoy Chowdhury,11644,Towhid Hridoy,2967,
5.1,4,Mrittunjoy Chowdhury,11644,Towhid Hridoy,2967,
4.6,4,Hasan Murad,11697,Mushfiqur Rahim,2924,
4.5,4,Hasan Murad,11697,Mushfiqur Rahim,2924,
