Ball Number,Score,Comment
18.1,6,"Mukidul Islam to Anamul Haque Bijoy, Six, Six !! What a delivery! fast ball lands right on the off stump, Anamul Haque Bijoy goes forward, exhibits impeccable timing as batter hammers drive sending it flying to the deep cover region for a remarkable Maximum!"
17.6,0,"Mustafizur Rahman to Ryan Burl, no run, Dot Ball !! bouncer, short length, on the off stump, and Ryan Burl hangs on and tries to hit uppercut, but misses it completely as ball beats the bat, goes to the keeper."
17.5,1,"Mustafizur Rahman to Anamul Haque Bijoy, 1 run, An accurately pitched fast ball on the stumps, Anamul Haque Bijoy goes back to make a confident flick shot, sending the ball towards deep fine leg for 1 run."
17.4,0,"Mustafizur Rahman to Anamul Haque Bijoy, no run, Dot ball !! slower ball, full length, on the off stump, Anamul Haque Bijoy goes forward, tucks defensive shot toward the fielder at short cover, who halts the ball."
17.3,1,"Mustafizur Rahman to Ryan Burl, 1 run, An accurately pitched fast ball on the off stump, Ryan Burl goes back to make a confident pull, sending the ball towards long on for 1 run."
17.2,6,"Mustafizur Rahman to Ryan Burl, Six, Six !! What a delivery! fast ball lands right on the off stump, Ryan Burl goes forward, exhibits impeccable timing as batter hammers inside out shot sending it flying to the deep cover region for a remarkable Maximum!"
17.1,4,"Mustafizur Rahman to Ryan Burl, Four, Four !! fast ball, back of length, on the off stump. Ryan Burl goes back, hits cut in the gap towards deep point, and ball finds the ropes in a flash for four."
16.6,1,"Alauddin Babu to Ryan Burl, 1 run, An accurately pitched fast ball on the leg stump, Ryan Burl goes forward to make a confident defensive shot, sending the ball towards short mid wicket for 1 run."
16.5,1,"Alauddin Babu to Anamul Haque Bijoy, 1 run, Anamul Haque Bijoy goes forward to take off cutter of good length aimed on the off stump, executing a confident cut that sent the ball sailing towards deep point for 1 run."
16.4,4,"Alauddin Babu to Anamul Haque Bijoy, Four, Four !! fast ball, full length, on the off stump, Short and well outside the off stump. Anamul Haque Bijoy goes forward, it to the deep cover, races away and finds the boundary."
16.3,6,"Alauddin Babu to Anamul Haque Bijoy, Six, Six !! What a delivery! fast ball lands right on the stumps, Anamul Haque Bijoy goes forward, exhibits impeccable timing as batter hammers flick shot sending it flying to the deep square leg region for a remarkable Maximum!"
16.2,1,"Alauddin Babu to Ryan Burl, 1 run, An accurately pitched fast ball on the stumps, Ryan Burl goes forward to make a confident drive, sending the ball towards long off for 1 run."
16.1,4,"Alauddin Babu to Ryan Burl, 4 leg bye, Leg Bye !! fast ball, good length, on the leg stump, Ryan Burl hangs in the crease, swats flick shot, but the ball slides off the body, batter is quick to avail this leg bye for 4 runs."
15.6,1,"Mustafizur Rahman to Ryan Burl, 1 run, An accurately pitched fast ball on the stumps, Ryan Burl goes back to make a confident pull, sending the ball towards deep square leg for 1 run."
15.5,1,"Mustafizur Rahman to Anamul Haque Bijoy, 1 run, An accurately pitched fast ball on the leg stump, Anamul Haque Bijoy goes forward to make a confident flick shot, sending the ball towards deep square leg for 1 run."
15.4,1,"Mustafizur Rahman to Ryan Burl, 1 run, An accurately pitched fast ball on the off stump, Ryan Burl goes back to make a confident cut, sending the ball towards slip for 1 run."
15.3,2,"Mustafizur Rahman to Ryan Burl, 2 runs, Mustafizur Rahman delivers fast ball at good length, Ryan Burl hangs in the crease and tucks it. But the ball is stopped by the fielder standing at the long off, limits Ryan Burl to just 2 runs."
15.3,1wd,"Mustafizur Rahman to Ryan Burl, 1 wide, Wide Ball !! fast ball fulltoss on the leg stump, That sails wide of the leg-stump, leaving Ryan Burl with no chance to make contact. The umpire calls it a wide."
15.2,0,"Mustafizur Rahman to Ryan Burl, no run, Dot ball !! fast ball, good length, on the off stump, Ryan Burl hangs in the crease to the delivery, tries to defend it with full face of the bat, but the ball jags away at the last moment, beating the bat."
15.1,1,"Mustafizur Rahman to Anamul Haque Bijoy, 1 run, fast ball, full length, on the stumps, Anamul Haque Bijoy goes forward to make a room for himself and hits it towards deep mid wicket for 1 run."
14.6,1,"Thisara Perera to Anamul Haque Bijoy, 1 run, Anamul Haque Bijoy goes forward to take fast ball of full length aimed on the off stump, executing a confident defensive shot that sent the ball sailing towards long off for 1 run."
14.5,1lb,"Thisara Perera to Ryan Burl, 1 leg bye, Leg Bye !! , good length, on the leg stump, Ryan Burl goes back, aims to slam it, but deflect off the pads. Batter steals a leg bye for 1 run."
14.4,1,"Thisara Perera to Anamul Haque Bijoy, 1 run, An accurately pitched inswinger on the stumps, Anamul Haque Bijoy goes forward to make a confident push, sending the ball towards long on for 1 run."
14.3,0,"Thisara Perera to Anamul Haque Bijoy, no run, Dot ball !! fast ball, full length, on the off stump, goes forward, plays defensive shot to the short cover."
14.2,6,"Thisara Perera to Anamul Haque Bijoy, Six, Six !! What a delivery! fast ball lands right on the off stump, Anamul Haque Bijoy goes back, exhibits impeccable timing as batter hammers pull sending it flying to the deep mid wicket region for a remarkable Maximum!"
14.1,1,"Thisara Perera to Ryan Burl, 1 run, An accurately pitched fast ball on the stumps, Ryan Burl goes back to make a confident pull, sending the ball towards long on for 1 run."
13.6,0,"Mukidul Islam to Anamul Haque Bijoy, no run, Dot ball !! fast ball, full length, on the off stump, Anamul Haque Bijoy goes forward, tucks defensive shot toward the fielder at short cover, who halts the ball."
13.5,0,"Mukidul Islam to Anamul Haque Bijoy, no run, Dot ball !! fast ball, yorker, on the off stump, Anamul Haque Bijoy goes back to the delivery, tries to defend it with full face of the bat, but the ball jags away at the last moment, beating the bat."
13.5,2nb,"Mukidul Islam to Ryan Burl, 2 no ball, No ball !! fast ball, good length, on the stumps, Ryan Burl goes back, slams pull, sending the ball towards the deep mid wicket, umpire calls a no ball as Mukidul Islam overstepped the crease."
13.4,4,"Mukidul Islam to Ryan Burl, Four, Four !! fast ball, back of length, on the stumps. Ryan Burl goes back, hits cut in the gap towards deep point, and ball finds the ropes in a flash for four."
13.3,4,"Mukidul Islam to Ryan Burl, Four, Four !! fast ball, good length, on the off stump. Ryan Burl hangs in the crease, hits cut in the gap towards third man, and ball finds the ropes in a flash for four."
13.2,4,"Mukidul Islam to Ryan Burl, Four, Four !! fast ball, back of length, on the stumps. Ryan Burl goes back, hits pull in the gap towards deep mid wicket, and ball finds the ropes in a flash for four."
13.1,0,"Mukidul Islam to Ryan Burl, no run, Dot ball !! fast ball, back of length, on the off stump, Ryan Burl hangs in the crease to the delivery, tries to defend it with full face of the bat, but the ball jags away at the last moment, beating the bat."
12.6,1,"Nazmul Islam to Ryan Burl, 1 run, arm ball, full length, on the off stump, Ryan Burl goes back to make a room for himself and hits it towards deep square leg for 1 run."
12.5,0,"Nazmul Islam to Ryan Burl, no run, Dot ball !! off break ball, good length, on the off stump, goes forward, plays defensive shot to the mid off."
12.4,6,"Nazmul Islam to Ryan Burl, Six, Six !! What a delivery! off break ball lands right on the off stump, Ryan Burl goes forward, exhibits impeccable timing as batter hammers and sends it flying to the long off region for a remarkable Maximum!"
12.3,6,"Nazmul Islam to Ryan Burl, Six, Six !! What a delivery! off break ball lands right on the stumps, Ryan Burl goes forward, exhibits impeccable timing as batter hammers sloge sweep sending it flying to the deep mid wicket region for a remarkable Maximum!"
12.2,1,"Nazmul Islam to Anamul Haque Bijoy, 1 run, Anamul Haque Bijoy goes back to take off break ball of good length aimed on the off stump, executing a confident pull that sent the ball sailing towards deep mid wicket for 1 run."
12.1,1,"Nazmul Islam to Ryan Burl, 1 run, Ryan Burl goes forward to take off break ball of full length aimed on the stumps, executing a confident push that sent the ball sailing towards long on for 1 run."
11.6,1,"Alauddin Babu to Ryan Burl, 1 run, Ryan Burl goes forward to take fast ball of good length aimed on the off stump, executing a confident push that sent the ball sailing towards mid off for 1 run."
11.5,0,"Alauddin Babu to Ryan Burl, no run, Dot ball !! fast ball, good length, on the off stump, goes forward, plays defensive shot to the short cover."
11.4,4,"Alauddin Babu to Ryan Burl, Four, Four !! fast ball, full length, on the off stump. Ryan Burl goes forward, hits drive in the gap towards deep cover, and ball finds the ropes in a flash for four."
11.3,0,"Alauddin Babu to Ryan Burl, no run, Dot ball !! fast ball, good length, on the stumps, Ryan Burl goes forward, tucks defensive shot toward the fielder at mid off, who halts the ball."
11.2,1lb,"Alauddin Babu to Anamul Haque Bijoy, 1 leg bye, Leg Bye !! inswinger, good length, on the stumps, Anamul Haque Bijoy goes forward, swats it, but the ball slides off the body, batter is quick to avail this leg bye for 1 run."
11.1,1,"Alauddin Babu to Ryan Burl, 1 run, fast ball, good length, on the stumps, goes forward, plays flick shot, towards the square leg for 1 run."
10.6,4,"Shubham Ranjane to Anamul Haque Bijoy, Four, Four !! fast ball, good length, on the off stump. Anamul Haque Bijoy goes back, hits cut in the gap towards deep point, and ball finds the ropes in a flash for four."
10.5,1,"Shubham Ranjane to Ryan Burl, 1 run, Ryan Burl goes forward to take fast ball of good length aimed on the leg stump, executing a confident flick shot that sent the ball sailing towards deep mid wicket for 1 run."
10.5,1wd,"Shubham Ranjane to Ryan Burl, 1 wide, Wide Ball !! fast ball full length on the leg stump, That sails wide of the leg-stump, leaving Ryan Burl with no chance to make contact. The umpire calls it a wide."
10.4,1,"Shubham Ranjane to Anamul Haque Bijoy, 1 run, Anamul Haque Bijoy goes forward to take fast ball of full length aimed on the off stump, executing a confident drive that sent the ball sailing towards deep cover for 1 run."
10.3,4,"Shubham Ranjane to Anamul Haque Bijoy, Four, Four !! fast ball, full length, on the off stump, Anamul Haque Bijoy elegantly goes forward into the shot, gracefully guides it to long off region, the ball speeds away and finds the boundary rope."
10.3,1nb,"Shubham Ranjane to Anamul Haque Bijoy, 1 no ball, No ball !! outswinger, good length, on the off stump, Shubham Ranjane sends down a delivery outside the off stump, and Anamul Haque Bijoy goes forward and watches it closely, deciding to let ball go to the keeper. Umpire signals it a no ball."
10.2,1,"Shubham Ranjane to Ryan Burl, 1 run, An accurately pitched fast ball on the leg stump, Ryan Burl goes forward to make a confident flick shot, sending the ball towards deep square leg for 1 run."
10.1,1,"Shubham Ranjane to Anamul Haque Bijoy, 1 run, Shubham Ranjane delivers fast ball at good length, Anamul Haque Bijoy goes forward and plays the shot, but the ball goes straight to the fielder at deep cover for 1 run."
9.6,1,"Alauddin Babu to Anamul Haque Bijoy, 1 run, Anamul Haque Bijoy goes forward to take fast ball of good length aimed on the off stump, executing a confident defensive shot that sent the ball sailing towards deep mid wicket for 1 run."
9.5,1,"Alauddin Babu to Ryan Burl, 1 run, An accurately pitched fast ball on the off stump, Ryan Burl goes forward to make a confident drive, sending the ball towards deep cover for 1 run."
