Fortune Barishal vs Durbar Rajshahi,Match 1,Monday,30 Dec,01:00 PM
Rangpur Rangers vs Durdanto Dhaka,Match 2,Monday,30 Dec,06:00 PM
Khulna Tigers vs Chittagong Kings,Match 3,Tuesday,31 Dec,11:30 AM
Sylhet Thunder vs Rangpur Rangers,Match 4,Tuesday,31 Dec,04:30 PM
Durbar Rajshahi vs Durdanto Dhaka,Match 5,Thursday,02 Jan,01:00 PM
Fortune Barishal vs Rangpur Rangers,Match 6,Thursday,02 Jan,06:00 PM
Durbar Rajshahi vs Chittagong Kings,Match 7,Friday,03 Jan,01:30 PM
Durdanto Dhaka vs Khulna Tigers,Match 8,Friday,03 Jan,06:30 PM
Sylhet Thunder vs Rangpur Rangers,Match 9,Monday,06 Jan,01:00 PM
Fortune Barishal vs Durbar Rajshahi,Match 10,Monday,06 Jan,06:00 PM
Rangpur Rangers vs Durdanto Dhaka,Match 11,Tuesday,07 Jan,01:00 PM
Fortune Barishal vs Sylhet Thunder,Match 12,Tuesday,07 Jan,06:00 PM
Fortune Barishal vs Rangpur Rangers,Match 13,Thursday,09 Jan,01:00 PM
Durdanto Dhaka vs Chittagong Kings,Match 14,Thursday,09 Jan,06:00 PM
Durbar Rajshahi vs Khulna Tigers,Match 15,Friday,10 Jan,01:30 PM
Durdanto Dhaka vs Sylhet Thunder,Match 16,Friday,10 Jan,06:30 PM
Khulna Tigers vs Sylhet Thunder,Match 17,Sunday,12 Jan,01:00 PM
Durbar Rajshahi vs Durdanto Dhaka,Match 18,Sunday,12 Jan,06:00 PM
Chittagong Kings vs Sylhet Thunder,Match 19,Monday,13 Jan,01:00 PM
Rangpur Rangers vs Khulna Tigers,Match 20,Monday,13 Jan,06:00 PM
Fortune Barishal vs Durdanto Dhaka,Match 21,Thursday,16 Jan,01:00 PM
Khulna Tigers vs Chittagong Kings,Match 22,Thursday,16 Jan,06:00 PM
Durbar Rajshahi vs Sylhet Thunder,Match 23,Friday,17 Jan,01:30 PM
Rangpur Rangers vs Chittagong Kings,Match 24,Friday,17 Jan,06:30 PM
Fortune Barishal vs Chittagong Kings,Match 25,Sunday,19 Jan,01:00 PM
Durbar Rajshahi vs Khulna Tigers,Match 26,Sunday,19 Jan,06:00 PM
Durdanto Dhaka vs Sylhet Thunder,Match 27,Monday,20 Jan,01:00 PM
Durbar Rajshahi vs Chittagong Kings,Match 28,Monday,20 Jan,06:00 PM
Durdanto Dhaka vs Chittagong Kings,Match 29,Wednesday,22 Jan,01:00 PM
Fortune Barishal vs Khulna Tigers,Match 30,Wednesday,22 Jan,06:00 PM
Durbar Rajshahi vs Rangpur Rangers,Match 31,Thursday,23 Jan,01:00 PM
Khulna Tigers vs Sylhet Thunder,Match 32,Thursday,23 Jan,06:00 PM
Fortune Barishal vs Sylhet Thunder,Match 33,Sunday,26 Jan,01:00 PM
Durbar Rajshahi vs Rangpur Rangers,Match 34,Sunday,26 Jan,06:00 PM
Fortune Barishal vs Khulna Tigers,Match 35,Monday,27 Jan,01:00 PM
Durbar Rajshahi vs Sylhet Thunder,Match 36,Monday,27 Jan,06:00 PM
Rangpur Rangers vs Chittagong Kings,Match 37,Wednesday,29 Jan,01:00 PM
Fortune Barishal vs Durdanto Dhaka,Match 38,Wednesday,29 Jan,06:00 PM
Rangpur Rangers vs Khulna Tigers,Match 39,Thursday,30 Jan,01:00 PM
Chittagong Kings vs Sylhet Thunder,Match 40,Thursday,30 Jan,06:00 PM
Durdanto Dhaka vs Khulna Tigers,Match 41,Saturday,01 Feb,01:00 PM
Fortune Barishal vs Chittagong Kings,Match 42,Saturday,01 Feb,06:00 PM
TBA vs TBA,Eliminator,Monday,03 Feb,01:00 PM
TBA vs TBA,Qualifier 1,Monday,03 Feb,06:00 PM
TBA vs TBA,Qualifier 2,Wednesday,05 Feb,06:00 PM
TBA vs TBA,Final,Friday,07 Feb,06:30 PM
