Rangpur Rangers Playing XI
Name,Designation,Player Number,Image Link
Nurul Hasan,Wk Batter,2942,https://media.sportstiger.com/players/NurulHasan14-09-2021-11-24-36.png
Alex Hales,Batter,5503,https://media.sportstiger.com/players/AlexHales27-01-2022-01-17-32.png
Steven Taylor,Batter,12710,https://media.sportstiger.com/default/cricket_player.png
Saif Hassan,Batter,2963,https://media.sportstiger.com/players/SaifHassan21-01-2023-06-10-18.png
Khushdil Shah,Batting All Rounder,4094,https://media.sportstiger.com/players/KhushdilShah10-10-2021-10-33-10.png
Mohammad Saifuddin,Batting All Rounder,2947,https://media.sportstiger.com/players/MohammadSaifuddin10-10-2022-05-38-45.png
Mahedi Hasan,Batting All Rounder,2950,https://media.sportstiger.com/players/MahediHasan24-08-2022-08-35-11.png
Kamrul Islam,Bowler,2970,https://media.sportstiger.com/default/cricket_player.png
Rakibul Hasan,Bowler,3382,https://media.sportstiger.com/default/cricket_player.png
Nahid Rana,Bowler,33565,https://media.sportstiger.com/default/cricket_player.png
Iftikhar Ahmed,Batting All Rounder,4097,https://media.sportstiger.com/players/IftikharAhmed02-09-2022-10-42-46.png
---------------------------------
Rangpur Rangers Bench
Name,Designation,Player Number,Image Link

---------------------------------
---------------------------------

Durdanto Dhaka Playing XI
Name,Designation,Player Number,Image Link
Litton Das,Wk Batter,2996,https://media.sportstiger.com/players/LitonDas14-09-2021-11-26-41.png
Stephen Eskinazi,Wk Batter,9218,https://media.sportstiger.com/players/StevieEskinazi17-01-2023-12-54-02.png
Tanzid Hasan,Batter,2936,https://media.sportstiger.com/default/cricket_player.png
Habibur Rahman Sohan,Batter,36840,https://media.sportstiger.com/default/cricket_player.png
Thisara Perera,Batting All Rounder,2866,https://media.sportstiger.com/players/ThisaraPerera12-09-2022-09-16-51.png
Mukidul Islam,Bowler,2951,https://media.sportstiger.com/players/MukidulIslam21-01-2023-05-23-22.png
Mustafizur Rahman,Bowler,2997,https://media.sportstiger.com/players/MustafizurRahman24-08-2021-12-21-22.png
Amir Hamza,Bowler,8235,https://media.sportstiger.com/default/cricket_player.png
Nazmul Islam,Bowler,2981,https://media.sportstiger.com/default/cricket_player.png
Farmanullah,Batting All Rounder,16368,https://media.sportstiger.com/default/cricket_player.png
Alauddin Babu,Bowler,11624,
---------------------------------
Durdanto Dhaka Bench
Name,Designation,Player Number,Image Link
---------------------------------
