Khulna Tigers Playing XI
Name,Designation,Player Number,Image Link
Mehidy Hasan Miraz,Batting All Rounder,2961,https://media.sportstiger.com/players/MehidyHasanMiraz24-08-2022-07-58-06.png
Mohammad Naim,Batter,2939,https://media.sportstiger.com/players/NaimSheikh14-09-2021-11-32-14.png
Afif Hossain,Batter,2964,https://media.sportstiger.com/players/AfifHossain24-08-2022-08-20-46.png
Mahidul Islam Ankon,Wk Batter,2971,https://media.sportstiger.com/default/cricket_player.png
Nasum Ahmed,Bowler,2927,https://media.sportstiger.com/players/NasumAhmed14-09-2021-11-28-25.png
Hasan Mahmud,Bowler,2984,https://media.sportstiger.com/players/HasanMahmud10-10-2022-05-41-39.png
Abu Hider,Bowler,2930,https://media.sportstiger.com/default/cricket_player.png
Mohammad Nawaz,Batting All Rounder,3049,https://media.sportstiger.com/players/MohammadNawaz13-07-2022-11-10-29.png
Oshane Thomas,Bowler,3484,https://media.sportstiger.com/players/OshaneThomas19-10-2021-08-20-52.png
Ibrahim Zadran,Batter,8230,https://media.sportstiger.com/players/IbrahimZadran23-08-2022-09-48-34.png
William Bosisto,Batting All Rounder,8169,https://media.sportstiger.com/default/cricket_player.png
---------------------------------
Khulna Tigers Bench
Name,Designation,Player Number,Image Link
Imrul Kayes,Batter,2974,https://media.sportstiger.com/default/cricket_player.png
Darwish Rasooli,Batter,5455,https://media.sportstiger.com/players/DarwishRasooli21-01-2023-06-34-11.png
Mahmudul Hasan Joy,Batter,3002,https://media.sportstiger.com/default/cricket_player.png
Lewis Gregory,Batting All Rounder,3216,https://media.sportstiger.com/players/LewisGregory11-01-2023-12-01-01.png
Mahfuzur Rahman Rabby,Batting All Rounder,16233,https://media.sportstiger.com/default/cricket_player.png
Ziaur Rahman,Batter,2988,https://media.sportstiger.com/default/cricket_player.png
Mohammad Hasnain,Bowler,4101,https://media.sportstiger.com/players/MohammadHasnain10-10-2021-10-43-57.png
Salman Irshad,Bowler,2306,https://media.sportstiger.com/default/cricket_player.png

---------------------------------
---------------------------------

Chittagong Kings Playing XI
Name,Designation,Player Number,Image Link
Mohammad Mithun,Wk Batter,2991,https://media.sportstiger.com/players/MohammadMithun21-01-2023-05-52-41.png
Naeem Islam,Batting All Rounder,11604,https://media.sportstiger.com/default/cricket_player.png
Usman Khan,Wk Batter,6505,https://media.sportstiger.com/default/cricket_player.png
Haider Ali,Batter,4095,https://media.sportstiger.com/players/HaiderAli02-09-2022-10-45-32.png
Shamim Hossain Patwari,Batter,2986,https://media.sportstiger.com/players/ShamimHossain14-09-2021-11-33-31.png
Parvez Hossain Emon,Batter,2969,https://media.sportstiger.com/players/MohammadParvezHossain24-08-2022-08-37-02.png
Tom O'Connell,Batting All Rounder,8087,https://media.sportstiger.com/default/cricket_player.png
Mohammad Wasim,Bowler,9870,https://media.sportstiger.com/players/MohammadWasim04-11-2023-10-31-10.png
Shoriful Islam,Bowler,3000,https://media.sportstiger.com/players/ShorifulIslam14-09-2021-11-35-51.png
Khaled Ahmed,Bowler,6617,https://media.sportstiger.com/players/KhaledAhmed14-12-2022-10-22-15.jpg
Aliss Al Islam,Bowler,11614,https://media.sportstiger.com/default/cricket_player.png
---------------------------------
Chittagong Kings Bench
Name,Designation,Player Number,Image Link
Binura Fernando,Bowler,2871,https://media.sportstiger.com/players/BinuraFernando25-07-2021-07-31-06.png
Marshall Ayub,Batter,11631,https://media.sportstiger.com/default/cricket_player.png
Shakib Al Hasan,Batting All Rounder,2972,https://media.sportstiger.com/players/ShakibAlHasan24-08-2021-11-43-44.png
Khawaja Nafay,Wk Batter,32610,https://media.sportstiger.com/default/cricket_player.png
Lahiru Milantha,Wk Batter,8356,https://media.sportstiger.com/default/cricket_player.png
Graham Clark,Batter,9281,https://media.sportstiger.com/default/cricket_player.png
Moeen Ali,Batting All Rounder,3198,https://media.sportstiger.com/players/MoeenAli24-08-2021-11-57-03.png
Zubaid Akbari,Batter,16361,https://media.sportstiger.com/default/cricket_player.png
Rahatul Ferdous,Batting All Rounder,11623,https://media.sportstiger.com/default/cricket_player.png
Angelo Mathews,Batting All Rounder,2809,https://media.sportstiger.com/players/AngeloMathews02-03-2022-06-39-13.png
Sheikh Paevez Jibon,Batting All Rounder,35200,https://media.sportstiger.com/default/cricket_player.png
Nabil Samad,Bowler,11606,https://media.sportstiger.com/default/cricket_player.png
Maruf Mridha,Bowler,35210,https://media.sportstiger.com/default/cricket_player.png
---------------------------------
