Sylhet Thunder Playing XI
Name,Designation,Player Number,Image Link
Ariful Haque-1,Batter,2987,https://media.sportstiger.com/default/cricket_player.png
George Munsey,Wk Batter,11031,https://media.sportstiger.com/players/GeorgeMunsey11-01-2023-01-06-18.png
Paul Stirling,Batter,2879,https://media.sportstiger.com/players/PaulStirling25-09-2021-07-46-02.png
Rony Talukdar,Wk Batter,2945,https://media.sportstiger.com/default/cricket_player.png
Zakir Hasan,Batter,2982,https://media.sportstiger.com/players/ZakirHasan14-12-2022-10-06-52.jpg
Jaker Ali Anik,Wk Batter,2949,https://media.sportstiger.com/default/cricket_player.png
Samiullah Shinwari,Batting All Rounder,3386,https://media.sportstiger.com/players/SamiullahShenwari23-08-2022-09-46-10.png
Tanzim Sakib,Bowler,11690,https://media.sportstiger.com/default/cricket_player.png
Nihaduzzaman,Batting All Rounder,11602,https://media.sportstiger.com/default/cricket_player.png
Reece Topley,Bowler,3206,https://media.sportstiger.com/players/ReeceTopley27-01-2022-01-17-04.png
Al Amin Hossain,Bowler,2980,https://media.sportstiger.com/players/Al-AminHossain21-01-2023-05-51-52.png
---------------------------------
Sylhet Thunder Bench
Name,Designation,Player Number,Image Link
Ruyel Miah,Bowler,3754,https://media.sportstiger.com/default/cricket_player.png
Rahkeem Cornwall,Batting All Rounder,7567,https://media.sportstiger.com/players/RahkeemCornwall21-01-2023-06-10-58.png
Nahidul Islam,Batting All Rounder,2998,https://media.sportstiger.com/default/cricket_player.png
Aaron Jones,Batter,12706,https://media.sportstiger.com/default/cricket_player.png
Arafat Sunny,Bowler,2943,https://media.sportstiger.com/default/cricket_player.png
Mashrafe Mortaza,Bowler,3657,https://media.sportstiger.com/players/MashrafeMortaza17-09-2022-09-21-02.png
Mehedi Hasan Sohag,Bowler,60954,https://media.sportstiger.com/default/cricket_player.png

---------------------------------
---------------------------------

Rangpur Rangers Playing XI
Name,Designation,Player Number,Image Link
Steven Taylor,Batter,12710,https://media.sportstiger.com/default/cricket_player.png
Alex Hales,Batter,5503,https://media.sportstiger.com/players/AlexHales27-01-2022-01-17-32.png
Iftikhar Ahmed,Batting All Rounder,4097,https://media.sportstiger.com/players/IftikharAhmed02-09-2022-10-42-46.png
Nurul Hasan,Wk Batter,2942,https://media.sportstiger.com/players/NurulHasan14-09-2021-11-24-36.png
Saif Hassan,Batter,2963,https://media.sportstiger.com/players/SaifHassan21-01-2023-06-10-18.png
Khushdil Shah,Batting All Rounder,4094,https://media.sportstiger.com/players/KhushdilShah10-10-2021-10-33-10.png
Mahedi Hasan,Batting All Rounder,2950,https://media.sportstiger.com/players/MahediHasan24-08-2022-08-35-11.png
Mohammad Saifuddin,Batting All Rounder,2947,https://media.sportstiger.com/players/MohammadSaifuddin10-10-2022-05-38-45.png
Nahid Rana,Bowler,33565,https://media.sportstiger.com/default/cricket_player.png
Rakibul Hasan,Bowler,3382,https://media.sportstiger.com/default/cricket_player.png
Kamrul Islam,Bowler,2970,https://media.sportstiger.com/default/cricket_player.png
---------------------------------
Rangpur Rangers Bench
Name,Designation,Player Number,Image Link
Sediqullah Atal,Batter,16358,https://media.sportstiger.com/default/cricket_player.png
Tawfique Khan,Wk Batter,11701,https://media.sportstiger.com/default/cricket_player.png
Irfan Sukkur,Wk Batter,2958,https://media.sportstiger.com/default/cricket_player.png
Soumya Sarkar,Batter,2995,https://media.sportstiger.com/players/SoumyaSarkar14-09-2021-11-25-31.png
Azizul Hakim Tamim,Batter,60382,https://media.sportstiger.com/default/cricket_player.png
Curtis Campher,Batting All Rounder,4337,https://media.sportstiger.com/players/CurtisCampher25-09-2021-07-46-55.png
Akif Javed,Bowler,6500,https://media.sportstiger.com/players/AkifJaved04-02-2023-10-25-21.png
Saurabh Netravalkar,Bowler,12476,https://media.sportstiger.com/default/cricket_player.png
Allah Ghazanfar,Bowler,25432,https://media.sportstiger.com/default/cricket_player.png
Rejaur Rahman Raja,Bowler,2953,https://media.sportstiger.com/default/cricket_player.png
---------------------------------
