Fortune Barishal Playing XI
Name,Designation,Player Number,Image Link
Tamim Iqbal,Batter,2956,https://media.sportstiger.com/players/TamimIqbal31-05-2021-10-38-18.jpg
Najmul Hossain Shanto,Batter,2954,https://media.sportstiger.com/default/cricket_player.png
Towhid Hridoy,Batter,2967,https://media.sportstiger.com/default/cricket_player.png
Kyle Mayers,Batting All Rounder,3480,https://media.sportstiger.com/players/KyleMayers11-03-2022-08-32-24.png
Mushfiqur Rahim,Wk Batter,2924,https://media.sportstiger.com/players/MushfiqurRahim14-09-2021-11-36-36.png
Mahmudullah,Batter,2973,https://media.sportstiger.com/players/Mahmudullah14-09-2021-11-27-17.png
Mohammad Nabi,Batting All Rounder,5482,https://media.sportstiger.com/players/MohammadNabi24-08-2021-11-42-46.png
Faheem Ashraf,Batting All Rounder,6498,https://media.sportstiger.com/players/FaheemAshraf17-01-2023-01-16-52.png
Shaheen Afridi,Bowler,6496,https://media.sportstiger.com/players/ShaheenAfridi10-10-2021-10-51-17.png
Tanvir Islam,Bowler,2966,https://media.sportstiger.com/default/cricket_player.png
Iqbal Hasan Emon,Bowler,N/A,https://media.sportstiger.com/default/cricket_player.png
---------------------------------
Fortune Barishal Bench
Name,Designation,Player Number,Image Link
Dawid Malan,Batter,2860,https://media.sportstiger.com/players/DawidMalan24-08-2021-12-27-28.png
Pathum Nissanka,Batter,7547,https://media.sportstiger.com/players/PathumNissanka17-07-2021-11-42-57.png
Shohidul Islam,Bowler,2983,https://media.sportstiger.com/default/cricket_player.png
James Fuller,Batting All Rounder,11016,https://media.sportstiger.com/players/JamesFuller11-01-2023-12-33-16.png
Ariful Islam,Bowler,N/A,https://media.sportstiger.com/default/cricket_player.png
Ripon Mondol,Bowler,18231,https://media.sportstiger.com/default/cricket_player.png
Ebadot Hossain,Bowler,2955,https://media.sportstiger.com/players/EbadotHossain14-12-2022-10-22-38.jpg
Taijul Islam,Bowler,2992,https://media.sportstiger.com/players/TaijulIslam14-12-2022-10-21-37.gif
Nandre Burger,Bowler,7977,https://media.sportstiger.com/players/NandreBurger03-01-2024-07-47-47.png
Rishad Hossain,Batting All Rounder,2985,https://media.sportstiger.com/default/cricket_player.png
Nayeem Hasan,Batting All Rounder,2934,https://media.sportstiger.com/default/cricket_player.png
Jahandad Khan,Batting All Rounder,45365,https://media.sportstiger.com/default/cricket_player.png
Mohammad Ali,Bowler,3951,https://media.sportstiger.com/default/cricket_player.png
Mohammad Imran,Bowler,3962,https://media.sportstiger.com/default/cricket_player.png
Pritom Kumar,Wk Batter,11612,https://media.sportstiger.com/default/cricket_player.png

---------------------------------
---------------------------------

Rangpur Rangers Playing XI
Name,Designation,Player Number,Image Link
Nurul Hasan,Wk Batter,2942,https://media.sportstiger.com/players/NurulHasan14-09-2021-11-24-36.png
Alex Hales,Batter,5503,https://media.sportstiger.com/players/AlexHales27-01-2022-01-17-32.png
Khushdil Shah,Batting All Rounder,4094,https://media.sportstiger.com/players/KhushdilShah10-10-2021-10-33-10.png
Saif Hassan,Batter,2963,https://media.sportstiger.com/players/SaifHassan21-01-2023-06-10-18.png
Kamrul Islam,Bowler,2970,https://media.sportstiger.com/default/cricket_player.png
Iftikhar Ahmed,Batting All Rounder,4097,https://media.sportstiger.com/players/IftikharAhmed02-09-2022-10-42-46.png
Nahid Rana,Bowler,33565,https://media.sportstiger.com/default/cricket_player.png
Mahedi Hasan,Batting All Rounder,2950,https://media.sportstiger.com/players/MahediHasan24-08-2022-08-35-11.png
Azizul Hakim Tamim,Batter,60382,https://media.sportstiger.com/default/cricket_player.png
Tawfique Khan,Wk Batter,11701,https://media.sportstiger.com/default/cricket_player.png
Akif Javed,Bowler,6500,https://media.sportstiger.com/players/AkifJaved04-02-2023-10-25-21.png
---------------------------------
Rangpur Rangers Bench
Name,Designation,Player Number,Image Link
Irfan Sukkur,Wk Batter,2958,https://media.sportstiger.com/default/cricket_player.png
Sediqullah Atal,Batter,16358,https://media.sportstiger.com/default/cricket_player.png
Soumya Sarkar,Batter,2995,https://media.sportstiger.com/players/SoumyaSarkar14-09-2021-11-25-31.png
Steven Taylor,Batter,12710,https://media.sportstiger.com/default/cricket_player.png
Curtis Campher,Batting All Rounder,4337,https://media.sportstiger.com/players/CurtisCampher25-09-2021-07-46-55.png
Rakibul Hasan,Bowler,3382,https://media.sportstiger.com/default/cricket_player.png
Mohammad Saifuddin,Batting All Rounder,2947,https://media.sportstiger.com/players/MohammadSaifuddin10-10-2022-05-38-45.png
Allah Ghazanfar,Bowler,25432,https://media.sportstiger.com/default/cricket_player.png
Saurabh Netravalkar,Bowler,12476,https://media.sportstiger.com/default/cricket_player.png
Rejaur Rahman Raja,Bowler,2953,https://media.sportstiger.com/default/cricket_player.png
---------------------------------
