Durbar Rajshahi Playing XI
Name,Designation,Player Number,Image Link
Mohammad Haris,Wk Batter,3957,https://media.sportstiger.com/default/cricket_player.png
Anamul Haque Bijoy,Batter,11785,https://media.sportstiger.com/default/cricket_player.png
Akbar Ali,Wk Batter,2935,https://media.sportstiger.com/default/cricket_player.png
Ryan Burl,Batter,8212,https://media.sportstiger.com/players/RyanBurl12-08-2022-06-00-47.png
Sabbir Hossain I,Batting All Rounder,11640,https://media.sportstiger.com/default/cricket_player.png
Yasir Ali Chowdhury,Batter,2931,https://media.sportstiger.com/players/YasirAli14-12-2022-10-10-00.jpg
Sohag Gazi,Batting All Rounder,5474,https://media.sportstiger.com/default/cricket_player.png
Hasan Murad,Bowler,11697,https://media.sportstiger.com/default/cricket_player.png
Mohor Sheikh,Bowler,11643,https://media.sportstiger.com/default/cricket_player.png
Shafiul Islam,Bowler,2976,https://media.sportstiger.com/default/cricket_player.png
Taskin Ahmed,Bowler,2960,https://media.sportstiger.com/players/TaskinAhmed14-09-2021-11-34-20.png
---------------------------------
Durbar Rajshahi Bench
Name,Designation,Player Number,Image Link
Meherob Hasan,Batter,36841,https://media.sportstiger.com/default/cricket_player.png
Mizanur Rahman,Batter,11618,https://media.sportstiger.com/default/cricket_player.png
Lahiru Samarakoon,Batting All Rounder,2839,https://media.sportstiger.com/default/cricket_player.png
Zahiduzzaman,Wk Batter,11622,https://media.sportstiger.com/default/cricket_player.png
Jishan Alam,Batting All Rounder,18227,https://media.sportstiger.com/default/cricket_player.png
Saad Nasim,Batting All Rounder,2247,https://media.sportstiger.com/default/cricket_player.png
Arafat Minhas,Batting All Rounder,26712,https://media.sportstiger.com/default/cricket_player.png
Bilal Khan,Bowler,14307,https://media.sportstiger.com/default/cricket_player.png
Sunzamul Islam,Bowler,2946,https://media.sportstiger.com/default/cricket_player.png
Asaduzzaman Payel,Bowler,11617,https://media.sportstiger.com/default/cricket_player.png
Mrittunjoy Chowdhury,Bowler,11644,https://media.sportstiger.com/default/cricket_player.png
Salman Mirza,Bowler,6541,https://media.sportstiger.com/default/cricket_player.png
Nathan Edwards,Bowler,19236,https://media.sportstiger.com/default/cricket_player.png

---------------------------------
---------------------------------

Chittagong Kings Playing XI
Name,Designation,Player Number,Image Link
Parvez Hossain Emon,Batter,2969,https://media.sportstiger.com/players/MohammadParvezHossain24-08-2022-08-37-02.png
Usman Khan,Wk Batter,6505,https://media.sportstiger.com/default/cricket_player.png
Mohammad Mithun,Wk Batter,2991,https://media.sportstiger.com/players/MohammadMithun21-01-2023-05-52-41.png
Graham Clark,Batter,9281,https://media.sportstiger.com/default/cricket_player.png
Haider Ali,Batter,4095,https://media.sportstiger.com/players/HaiderAli02-09-2022-10-45-32.png
Shamim Hossain Patwari,Batting All Rounder,2986,https://media.sportstiger.com/players/ShamimHossain14-09-2021-11-33-31.png
Arafat Sunny,Bowler,2943,https://media.sportstiger.com/default/cricket_player.png
Mohammad Wasim,Bowler,9870,https://media.sportstiger.com/players/MohammadWasim04-11-2023-10-31-10.png
Shoriful Islam,Bowler,3000,https://media.sportstiger.com/players/ShorifulIslam14-09-2021-11-35-51.png
Aliss Al Islam,Bowler,11614,https://media.sportstiger.com/default/cricket_player.png
Khaled Ahmed,Bowler,6617,https://media.sportstiger.com/players/KhaledAhmed14-12-2022-10-22-15.jpg
---------------------------------
Chittagong Kings Bench
Name,Designation,Player Number,Image Link
Moeen Ali,Batting All Rounder,3198,https://media.sportstiger.com/players/MoeenAli24-08-2021-11-57-03.png
Zubaid Akbari,Batter,16361,https://media.sportstiger.com/default/cricket_player.png
Naeem Islam,Batter,11604,https://media.sportstiger.com/default/cricket_player.png
Marshall Ayub,Batter,11631,https://media.sportstiger.com/default/cricket_player.png
Khawaja Nafay,Wk Batter,32610,https://media.sportstiger.com/default/cricket_player.png
Shakib Al Hasan,Batting All Rounder,2972,https://media.sportstiger.com/players/ShakibAlHasan24-08-2021-11-43-44.png
Lahiru Milantha,Wk Batter,8356,https://media.sportstiger.com/default/cricket_player.png
Angelo Mathews,Batting All Rounder,2809,https://media.sportstiger.com/players/AngeloMathews02-03-2022-06-39-13.png
Tom O'Connell,Batting All Rounder,8087,https://media.sportstiger.com/default/cricket_player.png
Hussain Talat,Batting All Rounder,2757,https://media.sportstiger.com/players/HussainTalat04-02-2023-09-26-17.png
Sheikh Paevez Jibon,Batting All Rounder,35200,https://media.sportstiger.com/default/cricket_player.png
Rahatul Ferdous,Batting All Rounder,11623,https://media.sportstiger.com/default/cricket_player.png
Shuvagata Hom,Batting All Rounder,2978,https://media.sportstiger.com/players/ShuvagataHom21-01-2023-06-37-39.png
Binura Fernando,Bowler,2871,https://media.sportstiger.com/players/BinuraFernando25-07-2021-07-31-06.png
Ifran Hossain,Bowler,11648,https://media.sportstiger.com/default/cricket_player.png
Nabil Samad,Bowler,11606,https://media.sportstiger.com/default/cricket_player.png
Maruf Mridha,Bowler,35210,https://media.sportstiger.com/default/cricket_player.png
---------------------------------
