Durdanto Dhaka Playing XI
Name,Designation,Player Number,Image Link
Litton Das,Wk Batter,2996,https://media.sportstiger.com/players/LitonDas14-09-2021-11-26-41.png
Stephen Eskinazi,Wk Batter,9218,https://media.sportstiger.com/players/StevieEskinazi17-01-2023-12-54-02.png
Tanzid Hasan,Batter,2936,https://media.sportstiger.com/default/cricket_player.png
Thisara Perera,Batting All Rounder,2866,https://media.sportstiger.com/players/ThisaraPerera12-09-2022-09-16-51.png
Shubham Ranjane,Batting All Rounder,4610,https://media.sportstiger.com/default/cricket_player.png
Mustafizur Rahman,Bowler,2997,https://media.sportstiger.com/players/MustafizurRahman24-08-2021-12-21-22.png
Abu Jayed,Bowler,2959,https://media.sportstiger.com/players/AbuJayed21-01-2023-06-34-43.png
Shahadat Hossain,Batter,11767,https://media.sportstiger.com/default/cricket_player.png
Nazmul Islam,Bowler,2981,https://media.sportstiger.com/default/cricket_player.png
Chaturanga de Silva,Bowler,2865,https://media.sportstiger.com/players/ChaturangadeSilva12-09-2022-09-17-47.png
Alauddin Babu,Bowler,11624,https://media.sportstiger.com/default/cricket_player.png
---------------------------------
Durdanto Dhaka Bench
Name,Designation,Player Number,Image Link
Munim Shahriar,Batter,11592,https://media.sportstiger.com/default/cricket_player.png
Sabbir Rahman,Batting All Rounder,2929,https://media.sportstiger.com/players/SabbirRahman10-10-2022-05-39-39.png
Habibur Rahman Sohan,Batter,36840,https://media.sportstiger.com/default/cricket_player.png
Jason Roy,Batter,3203,https://media.sportstiger.com/players/JasonRoy24-08-2021-01-30-03.png
Riaz Hassan,Batter,19931,https://media.sportstiger.com/default/cricket_player.png
Rahmat Ali,Batter,12055,https://media.sportstiger.com/default/cricket_player.png
Jean-Pierre Kotze,Wk Batter,8936,https://media.sportstiger.com/default/cricket_player.png
Saim Ayub,Batting All Rounder,6506,https://media.sportstiger.com/default/cricket_player.png
Farmanullah,Batting All Rounder,16368,https://media.sportstiger.com/default/cricket_player.png
Johnson Charles,Wk Batter,2351,https://media.sportstiger.com/players/JohnsonCharles10-10-2022-05-42-03.png
Mukidul Islam,Batting All Rounder,2951,https://media.sportstiger.com/players/MukidulIslam21-01-2023-05-23-22.png
Shahnawaz Dahani,Bowler,3012,https://media.sportstiger.com/players/ShahnawazDahani02-09-2022-10-40-59.png
Amir Hamza,Bowler,8235,https://media.sportstiger.com/default/cricket_player.png
Mehedi Hasan Rana,Bowler,2932,https://media.sportstiger.com/default/cricket_player.png
Asif Hasan,Bowler,11637,https://media.sportstiger.com/default/cricket_player.png
Zahoor Khan,Bowler,3569,https://media.sportstiger.com/players/ZahoorKhan11-01-2023-01-29-22.png
Musfik Hasan,Bowler,21675,https://media.sportstiger.com/default/cricket_player.png

---------------------------------
---------------------------------

Khulna Tigers Playing XI
Name,Designation,Player Number,Image Link
Mahidul Islam Ankon,Wk Batter,2971,https://media.sportstiger.com/default/cricket_player.png
Afif Hossain,Batter,2964,https://media.sportstiger.com/players/AfifHossain24-08-2022-08-20-46.png
Ziaur Rahman,Batting All Rounder,2988,https://media.sportstiger.com/default/cricket_player.png
Abu Hider,Bowler,2930,https://media.sportstiger.com/default/cricket_player.png
Ibrahim Zadran,Batter,8230,https://media.sportstiger.com/players/IbrahimZadran23-08-2022-09-48-34.png
Mohammad Naim,Batter,2939,https://media.sportstiger.com/players/NaimSheikh14-09-2021-11-32-14.png
Mehidy Hasan Miraz,Batting All Rounder,2961,https://media.sportstiger.com/players/MehidyHasanMiraz24-08-2022-07-58-06.png
Mohammad Nawaz,Batting All Rounder,3049,https://media.sportstiger.com/players/MohammadNawaz13-07-2022-11-10-29.png
William Bosisto,Batting All Rounder,8169,https://media.sportstiger.com/default/cricket_player.png
Hasan Mahmud,Bowler,2984,https://media.sportstiger.com/players/HasanMahmud10-10-2022-05-41-39.png
Nasum Ahmed,Bowler,2927,https://media.sportstiger.com/players/NasumAhmed14-09-2021-11-28-25.png
---------------------------------
Khulna Tigers Bench
Name,Designation,Player Number,Image Link
Mahmudul Hasan Joy,Batter,3002,https://media.sportstiger.com/default/cricket_player.png
Darwish Rasooli,Batter,5455,https://media.sportstiger.com/players/DarwishRasooli21-01-2023-06-34-11.png
Imrul Kayes,Batter,2974,https://media.sportstiger.com/default/cricket_player.png
Lewis Gregory,Batting All Rounder,3216,https://media.sportstiger.com/players/LewisGregory11-01-2023-12-01-01.png
Mahfuzur Rahman Rabby,Batting All Rounder,16233,https://media.sportstiger.com/default/cricket_player.png
Oshane Thomas,Bowler,3484,https://media.sportstiger.com/players/OshaneThomas19-10-2021-08-20-52.png
Mohammad Hasnain,Bowler,4101,https://media.sportstiger.com/players/MohammadHasnain10-10-2021-10-43-57.png
Salman Irshad,Bowler,2306,https://media.sportstiger.com/default/cricket_player.png
---------------------------------
