Match,Match Number,Day,Date (UTC),Time (UTC),Venue
Fortune Barishal vs Durbar Rajshahi,Match 1,Monday,2024-12-30,07:30,"Shere Bangla National Stadium, Mirpur, Dhaka"
Rangpur Rangers vs Durdanto Dhaka,Match 2,Monday,2024-12-30,12:30,"Shere Bangla National Stadium, Mirpur, Dhaka"
Khulna Tigers vs Chittagong Kings,Match 3,Tuesday,2024-12-31,06:00,"Shere Bangla National Stadium, Mirpur, Dhaka"
Sylhet Thunder vs Rangpur Rangers,Match 4,Tuesday,2024-12-31,11:00,"Shere Bangla National Stadium, Mirpur, Dhaka"
Durbar Rajshahi vs Durdanto Dhaka,Match 5,Thursday,2025-01-02,07:30,"Shere Bangla National Stadium, Mirpur, Dhaka"
Fortune Barishal vs Rangpur Rangers,Match 6,Thursday,2025-01-02,12:30,"Shere Bangla National Stadium, Mirpur, Dhaka"
Durbar Rajshahi vs Chittagong Kings,Match 7,Friday,2025-01-03,08:00,"Shere Bangla National Stadium, Mirpur, Dhaka"
Durdanto Dhaka vs Khulna Tigers,Match 8,Friday,2025-01-03,13:00,"Shere Bangla National Stadium, Mirpur, Dhaka"
Sylhet Thunder vs Rangpur Rangers,Match 9,Monday,2025-01-06,07:30,"Sylhet International Cricket Stadium, Sylhet"
Fortune Barishal vs Durbar Rajshahi,Match 10,Monday,2025-01-06,12:30,"Sylhet International Cricket Stadium, Sylhet"
Rangpur Rangers vs Durdanto Dhaka,Match 11,Tuesday,2025-01-07,07:30,"Sylhet International Cricket Stadium, Sylhet"
Fortune Barishal vs Sylhet Thunder,Match 12,Tuesday,2025-01-07,12:30,"Sylhet International Cricket Stadium, Sylhet"
Fortune Barishal vs Rangpur Rangers,Match 13,Thursday,2025-01-09,07:30,"Sylhet International Cricket Stadium, Sylhet"
Durdanto Dhaka vs Chittagong Kings,Match 14,Thursday,2025-01-09,12:30,"Sylhet International Cricket Stadium, Sylhet"
Durbar Rajshahi vs Khulna Tigers,Match 15,Friday,2025-01-10,08:00,"Sylhet International Cricket Stadium, Sylhet"
Durdanto Dhaka vs Sylhet Thunder,Match 16,Friday,2025-01-10,13:00,"Sylhet International Cricket Stadium, Sylhet"
Khulna Tigers vs Sylhet Thunder,Match 17,Sunday,2025-01-12,07:30,"Sylhet International Cricket Stadium, Sylhet"
Durbar Rajshahi vs Durdanto Dhaka,Match 18,Sunday,2025-01-12,12:30,"Sylhet International Cricket Stadium, Sylhet"
