
Name,Runs,Balls,Fours,Sixes,SR
Rony Talukdar,41,36,4,1,113.89
George Munsey,2,3,0,0,66.67
Zakir Hasan,18,12,3,0,150
Paul Stirling,6,5,0,1,120
Jaker Ali Anik (wk),24,33,1,1,72.73
Ariful Haque-1 (c),0,1,0,0,0
Samiullah Shinwari,8,14,0,0,57.14
Tanzim Sakib,3,3,0,0,100
Nihaduzzaman,1,2,0,0,50
Reece Topley,5,6,0,0,83.33
Al Amin Hossain *,3,6,0,0,50

Name,O,M,R,W,NB,WD,ECO
Mohammad Saifuddin,4,0,18,2,1,0,4.5
Kamrul Islam,2,0,21,1,0,3,10.5
Mahedi Hasan,2,0,17,0,0,0,8.5
Rakibul Hasan,4,0,27,0,0,0,6.75
Nahid Rana,4,0,27,4,0,1,6.75
Khushdil Shah,4,0,10,2,0,0,2.5

Name,Runs,Balls,Fours,Sixes,SR
Steven Taylor,12,15,3,0,80
Alex Hales,6,7,1,0,85.71
Saif Hassan,4,7,1,0,57.14
Iftikhar Ahmed,47,42,4,1,111.9
Khushdil Shah,21,16,2,1,131.25
Nurul Hasan (wk/c),41,24,4,2,170.83
Mahedi Hasan,16,8,2,1,200
Mohammad Saifuddin,2,1,0,0,200

Name,O,M,R,W,NB,WD,ECO
Tanzim Sakib,4,1,27,2,0,0,6.75
Al Amin Hossain,4,0,31,2,0,0,7.75
Reece Topley,4,0,33,1,0,0,8.25
Nihaduzzaman,4,0,26,0,0,0,6.5
Samiullah Shinwari,2,0,16,1,0,0,8
Ariful Haque-1 (c),2,0,16,0,0,0,8
