Team Name,Player Name,Designation
Chittagong Kings,PARVEZ HOSSAIN EMON,Batter
Chittagong Kings,LAHIRU MILANTHA,Wk Batter
Chittagong Kings,USMAN KHAN,Wk Batter
Chittagong Kings,KHAWAJA NAFAY,Wk Batter
Chittagong Kings,HAIDER ALI,Batter
Chittagong Kings,SHAMIM HOSSAIN PATWARI,Batter
Chittagong Kings,GRAHAM CLARK,Batter
Chittagong Kings,MOHAMMAD MITHUN,Wk Batter
Chittagong Kings,MARSHALL AYUB,Batter
Chittagong Kings,ZUBAID AKBARI,Batter
Chittagong Kings,NAEEM ISLAM,Batting All Rounder
Chittagong Kings,SHAKIB AL HASAN,Batting All Rounder
Chittagong Kings,MOEEN ALI,Batting All Rounder
Chittagong Kings,ANGELO MATHEWS,Batting All Rounder
Chittagong Kings,TOM O'CONNELL,Batting All Rounder
Chittagong Kings,SHEIKH PAEVEZ JIBON,Batting All Rounder
Chittagong Kings,RAHATUL FERDOUS,Batting All Rounder
Chittagong Kings,MOHAMMAD WASIM,Bowler
Chittagong Kings,SHORIFUL ISLAM,Bowler
Chittagong Kings,BINURA FERNANDO,Bowler
Chittagong Kings,ALISS AL ISLAM,Bowler
Chittagong Kings,KHALED AHMED,Bowler
Chittagong Kings,NABIL SAMAD,Bowler
Chittagong Kings,MARUF MRIDHA,Bowler
Chittagong Kings,HUSSAIN TALAT,Batting All Rounder
Chittagong Kings,SHUVAGATA HOM,Batting All Rounder
Chittagong Kings,ARAFAT SUNNY,Bowler
Chittagong Kings,IFRAN HOSSAIN,Bowler
Durbar Rajshahi,MOHAMMAD HARIS,Wk Batter
Durbar Rajshahi,AKBAR ALI,Wk Batter
Durbar Rajshahi,ZAHIDUZZAMAN,Wk Batter
Durbar Rajshahi,RYAN BURL,Batter
Durbar Rajshahi,YASIR ALI CHOWDHURY,Batter
Durbar Rajshahi,ANAMUL HAQUE BIJOY,Batter
Durbar Rajshahi,MEHEROB HASAN,Batter
Durbar Rajshahi,MIZANUR RAHMAN,Batter
Durbar Rajshahi,LAHIRU SAMARAKOON,Batting All Rounder
Durbar Rajshahi,JISHAN ALAM,Batting All Rounder
Durbar Rajshahi,SAAD NASIM,Batting All Rounder
Durbar Rajshahi,ARAFAT MINHAS,Batting All Rounder
Durbar Rajshahi,SABBIR HOSSAIN I,Batting All Rounder
Durbar Rajshahi,TASKIN AHMED,Bowler
Durbar Rajshahi,SHAFIUL ISLAM,Bowler
Durbar Rajshahi,HASAN MURAD,Bowler
Durbar Rajshahi,BILAL KHAN,Bowler
Durbar Rajshahi,SUNZAMUL ISLAM,Bowler
Durbar Rajshahi,MRITTUNJOY CHOWDHURY,Bowler
Durbar Rajshahi,ASADUZZAMAN PAYEL,Bowler
Durbar Rajshahi,MOHOR SHEIKH,Bowler
Durbar Rajshahi,NATHAN EDWARDS,Bowler
Durdanto Dhaka,LITTON DAS,Wk Batter
Durdanto Dhaka,STEPHEN ESKINAZI,Wk Batter
Durdanto Dhaka,JOHNSON CHARLES,Wk Batter
Durdanto Dhaka,JEAN-PIERRE KOTZE,Wk Batter
Durdanto Dhaka,JASON ROY,Batter
Durdanto Dhaka,TANZID HASAN,Batter
Durdanto Dhaka,SHAHADAT HOSSAIN,Bowler
Durdanto Dhaka,MUNIM SHAHRIAR,Batter
Durdanto Dhaka,HABIBUR RAHMAN SOHAN,Batter
Durdanto Dhaka,RIAZ HASSAN,Batter
Durdanto Dhaka,RAHMAT ALI,Batter
Durdanto Dhaka,SAIM AYUB,Batter
Durdanto Dhaka,THISARA PERERA,Batting All Rounder
Durdanto Dhaka,SABBIR RAHMAN,Batter
Durdanto Dhaka,SHUBHAM RANJANE,Batting All Rounder
Durdanto Dhaka,MUKIDUL ISLAM,Bowler
Durdanto Dhaka,ALAUDDIN BABU,Bowler
Durdanto Dhaka,FARMANULLAH,Batting All Rounder
Durdanto Dhaka,MUSTAFIZUR RAHMAN,Bowler
Durdanto Dhaka,SHAHNAWAZ DAHANI,Bowler
Durdanto Dhaka,AMIR HAMZA,Bowler
Durdanto Dhaka,MEHEDI HASAN RANA,Bowler
Durdanto Dhaka,ABU JAYED,Bowler
Durdanto Dhaka,NAZMUL ISLAM,Bowler
Durdanto Dhaka,CHATURANGA DE SILVA,Bowler
